"Claim","Type","Evidence artifact","Measured/Modeled/Historical","Public?"
"Zero false accusations on provable arithmetic over-refunds (sum r_i > C)","Mathematical Proof (SMT)","backend/app/carve_proof.py","MEASURED","YES"
"CARVE-FECL achieves Expected Merchant Loss L = 0.6115 on 5,000 held-out cases","Empirical ML Benchmark","research/comprehensive_audit_results.json","MEASURED","YES"
"Sub-1.0 Expected Loss milestone reached at N=250 training samples by CARVE-FECL","Empirical Learning Curve","research/comprehensive_audit_results.json","MEASURED","YES"
"Unconstrained PyTorch model B8 fails to achieve sub-1.0 loss through N=10,000","Empirical Learning Curve","research/comprehensive_audit_results.json","MEASURED","YES"
"Tail-Risk Truncation: 64.3% Reduction in CVaR99 (10.50 to 3.75) via SMT gating","Tail Risk Evaluation","research/comprehensive_audit_results.json","MEASURED","YES"
"Matched-Coverage Dominance: CARVE achieves L=1.6850 vs L=2.0420 for B8 at 100% full automation","Matched Coverage Test","BASELINE_LADDER_V3.md","MEASURED","YES"
"Counterfactual Causal Consistency of 99.7% across 10 minimal financial pairs","Counterfactual Audit","ROBUSTNESS_POST_AUDIT.md","MEASURED","YES"
"Decision-Theoretic Loss Dominance in 39 out of 45 financial cost regimes (86.7%)","Sensitivity Sweep","LOSS_SENSITIVITY.md","MEASURED","YES"
"Projected Net Merchant Margin Savings of Rs 3,434,000 per 10,000 disputes","Financial Projection","research/merchant_economics.json","PROJECTED","YES"
"Return on Operational Investment of 6.07x under standard Rs 5,000 dispute ticket size","Economic Model","research/merchant_economics.json","MODELED","YES"
"25x Sample Efficiency Advantage at Loss <= 1.85","Historical Formulaic Claim","ACTUAL_TRAINING_AUDIT.md","HISTORICAL / INVALIDATED","NO"
"Continuous Power-Law Learning Curves across N=50 to 70,000","Analytical Fit","ACTUAL_TRAINING_AUDIT.md","HISTORICAL / INVALIDATED","NO"
"100.0% Precision across all five dispute categories","Pre-Leakage Evaluation","ACTUAL_TRAINING_AUDIT.md","HISTORICAL / INVALIDATED","NO"
"FECL-Human-100 External Blind Challenge Protocol (100 double-annotated cases)","External Validity Study","HUMAN_VALIDATION_STATUS.md","PENDING EXTERNAL VALIDATION","YES"
"Zero payment mutation endpoints or external Razorpay write calls","Security Guard","scripts/check_no_razorpay_writes.py","MEASURED","YES"
"Sub-25ms end-to-end CPU evaluation latency per dispute case","Benchmark Timing","results/holdout-regex-v1-20260823-final.json","MEASURED","YES"
